Title,Created Date, Modified Date,Severity Level,Status
[Django Framework Exceptions](https://github.com/SigmaHQ/sigma/blob/master/rules/application/django/appframework_django_exceptions.yml),2017-08-05,2020-09-01,medium,stable
[Potential JNDI Injection Exploitation In JVM Based Application](https://github.com/SigmaHQ/sigma/blob/master/rules/application/jvm/java_jndi_injection_exploitation_attempt.yml),2023-02-11,2023-02-11,high,test
[Potential Local File Read Vulnerability In JVM Based Application](https://github.com/SigmaHQ/sigma/blob/master/rules/application/jvm/java_local_file_read.yml),2023-02-11,2023-02-11,high,test
[Potential OGNL Injection Exploitation In JVM Based Application](https://github.com/SigmaHQ/sigma/blob/master/rules/application/jvm/java_ognl_injection_exploitation_attempt.yml),2023-02-11,2023-02-11,high,test
[Process Execution Error In JVM Based Application](https://github.com/SigmaHQ/sigma/blob/master/rules/application/jvm/java_rce_exploitation_attempt.yml),2023-02-11,2023-02-11,high,test
[Potential XXE Exploitation Attempt In JVM Based Application](https://github.com/SigmaHQ/sigma/blob/master/rules/application/jvm/java_xxe_exploitation_attempt.yml),2023-02-11,2023-02-11,high,test
[Kubernetes Admission Controller Modification](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_change_admission_controller.yml),2024-07-11,2024-07-11,medium,experimental
[Kubernetes CronJob/Job Modification](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_cronjob_modification.yml),2024-07-11,2024-07-11,medium,experimental
[Deployment Deleted From Kubernetes Cluster](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_deployment_deleted.yml),2024-03-26,2024-03-26,low,test
[Kubernetes Events Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_events_deleted.yml),2024-03-26,2024-03-26,medium,test
[Potential Remote Command Execution In Pod Container](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_exec_into_container.yml),2024-03-26,2024-03-26,medium,test
[Container With A hostPath Mount Created](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_hostpath_mount.yml),2024-03-26,2024-03-26,low,test
[Creation Of Pod In System Namespace](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_pod_in_system_namespace.yml),2024-03-26,2024-03-26,medium,test
[Privileged Container Deployed](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_privileged_pod_creation.yml),2024-03-26,2024-03-26,low,test
[RBAC Permission Enumeration Attempt](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_rbac_permisions_listing.yml),2024-03-26,2024-03-26,low,test
[Kubernetes Rolebinding Modification](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_rolebinding_modification.yml),2024-07-11,2024-07-11,medium,experimental
[Kubernetes Secrets Enumeration](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_secrets_enumeration.yml),2024-03-26,2024-03-26,low,test
[Kubernetes Secrets Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_secrets_modified_or_deleted.yml),2024-07-11,2024-07-11,medium,experimental
[New Kubernetes Service Account Created](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_serviceaccount_creation.yml),2024-03-26,2024-03-26,low,test
[Potential Sidecar Injection Into Running Deployment](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_sidecar_injection.yml),2024-03-26,2024-03-26,medium,test
[Kubernetes Unauthorized or Unauthenticated Access](https://github.com/SigmaHQ/sigma/blob/master/rules/application/kubernetes/audit/kubernetes_audit_unauthorized_unauthenticated_actions.yml),2024-04-12,2024-04-12,low,test
[Potential RCE Exploitation Attempt In NodeJS](https://github.com/SigmaHQ/sigma/blob/master/rules/application/nodejs/nodejs_rce_exploitation_attempt.yml),2023-02-11,2023-02-11,high,test
[OpenCanary - FTP Login Attempt](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_ftp_login_attempt.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - GIT Clone Request](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_git_clone_request.yml),2024-03-08,2024-03-08,high,test
